"","Package","Version"
"1","abind","1.4-5"
"2","Amelia","1.7.5"
"3","assertthat","0.2.0"
"4","backports","1.1.2"
"5","base64enc","0.1-3"
"6","BH","1.66.0-1"
"7","bindr","0.1.1"
"8","bindrcpp","0.2.2"
"9","bit","1.1-14"
"10","bit64","0.9-7"
"11","bitops","1.0-6"
"12","blob","1.1.1"
"13","broom","0.5.0"
"14","car","3.0-2"
"15","carData","3.0-2"
"16","caret","6.0-80"
"17","caTools","1.17.1.1"
"18","cellranger","1.1.0"
"19","chron","2.3-53"
"20","circlize","0.4.5"
"21","cli","1.0.0"
"22","colorspace","1.3-2"
"23","corrplot","0.84"
"24","crayon","1.3.4"
"25","curl","3.2"
"26","CVST","0.2-2"
"27","data.table","1.11.6"
"28","DBI","1.0.0"
"29","ddalpha","1.3.4"
"30","dendextend","1.10.0"
"31","DEoptimR","1.0-8"
"32","digest","0.6.17"
"33","dimRed","0.1.0"
"34","diptest","0.75-7"
"35","dplyr","0.7.6"
"36","DRR","0.0.3"
"37","ellipsis","0.1.0"
"38","evaluate","0.11"
"39","fansi","0.3.0"
"40","flexmix","2.3-15"
"41","float","0.2-0"
"42","forcats","0.4.0"
"43","foreach","1.4.4"
"44","formatR","1.5"
"45","fpc","2.1-11.1"
"46","futile.logger","1.4.3"
"47","futile.options","1.0.1"
"48","gdata","2.18.0"
"49","gender","0.5.2"
"50","geometry","0.3-6"
"51","ggplot2","3.0.0"
"52","ggthemes","4.1.0"
"53","GlobalOptions","0.1.0"
"54","glue","1.3.0"
"55","gower","0.1.2"
"56","gridBase","0.4-7"
"57","gridExtra","2.3"
"58","gsubfn","0.7"
"59","gtable","0.2.0"
"60","gtools","3.8.1"
"61","GuardianR","0.9"
"62","haven","2.1.0"
"63","highr","0.7"
"64","hms","0.4.2"
"65","htmltools","0.3.6"
"66","httpuv","1.5.1"
"67","httr","1.3.1"
"68","igraph","1.2.4"
"69","installr","0.20.0"
"70","ipred","0.9-7"
"71","irlba","2.3.3"
"72","iterators","1.0.10"
"73","jsonlite","1.5"
"74","kableExtra","0.9.0"
"75","kernlab","0.9-27"
"76","knitr","1.20"
"77","labeling","0.3"
"78","lambda.r","1.2.3"
"79","later","0.8.0"
"80","lava","1.6.3"
"81","lazyeval","0.2.1"
"82","lda","1.4.2"
"83","LDAvis","0.3.2"
"84","lme4","1.1-21"
"85","lubridate","1.7.4"
"86","magic","1.5-9"
"87","magrittr","1.5"
"88","maptools","0.9-5"
"89","markdown","0.8"
"90","MatrixModels","0.4-1"
"91","mclust","5.4.3"
"92","memoise","1.1.0"
"93","mime","0.5"
"94","minqa","1.2.4"
"95","mlapi","0.1.0"
"96","mlbench","2.1-1"
"97","ModelMetrics","1.2.0"
"98","modeltools","0.2-22"
"99","munsell","0.5.0"
"100","mvtnorm","1.0-10"
"101","nloptr","1.2.1"
"102","NLP","0.2-0"
"103","numDeriv","2016.8-1"
"104","openNLP","0.2-6"
"105","openNLPdata","1.5.3-4"
"106","openssl","1.0.2"
"107","openxlsx","4.1.0"
"108","pbapply","1.4-0"
"109","pbkrtest","0.4-7"
"110","pillar","1.3.0"
"111","pkgconfig","2.0.2"
"112","plogr","0.2.0"
"113","plotrix","3.7-4"
"114","pls","2.7-0"
"115","plyr","1.8.4"
"116","prabclus","2.2-7"
"117","prettyunits","1.0.2"
"118","prodlim","2018.04.18"
"119","progress","1.2.1"
"120","promises","1.0.1"
"121","proto","1.0.0"
"122","proxy","0.4-23"
"123","purrr","0.2.5"
"124","qdap","2.3.2"
"125","qdapDictionaries","1.0.7"
"126","qdapRegex","0.7.2"
"127","qdapTools","1.3.3"
"128","quantreg","5.38"
"129","R6","2.2.2"
"130","RColorBrewer","1.1-2"
"131","Rcpp","0.12.18"
"132","RcppArmadillo","0.9.100.5.0"
"133","RcppEigen","0.3.3.5.0"
"134","RcppParallel","4.4.2"
"135","RcppRoll","0.3.0"
"136","RCurl","1.95-4.12"
"137","readr","1.1.1"
"138","readxl","1.3.1"
"139","recipes","0.1.3"
"140","rematch","1.0.1"
"141","reports","0.1.4"
"142","reshape2","1.4.3"
"143","rio","0.5.16"
"144","rJava","0.9-10"
"145","RJSONIO","1.3-1.1"
"146","rlang","0.2.2"
"147","rmarkdown","1.10"
"148","robustbase","0.93-3"
"149","rprojroot","1.3-2"
"150","RSQLite","2.1.1"
"151","rstudioapi","0.7"
"152","rvest","0.3.2"
"153","scales","1.0.0"
"154","selectr","0.4-1"
"155","sfsmisc","1.1-2"
"156","shape","1.4.4"
"157","shiny","1.3.2"
"158","slam","0.1-45"
"159","sourcetools","0.1.7"
"160","sp","1.3-1"
"161","SparseM","1.77"
"162","sparsepp","1.22"
"163","sqldf","0.4-11"
"164","SQUAREM","2017.10-1"
"165","stringdist","0.9.5.1"
"166","stringi","1.1.7"
"167","stringr","1.3.1"
"168","text2vec","0.5.1"
"169","tibble","1.4.2"
"170","tidyr","0.8.1"
"171","tidyselect","0.2.4"
"172","timeDate","3043.102"
"173","tinytex","0.8"
"174","tm","0.7-6"
"175","treemap","2.4-2"
"176","trimcluster","0.1-2.1"
"177","utf8","1.1.4"
"178","venneuler","1.1-0"
"179","viridis","0.5.1"
"180","viridisLite","0.3.0"
"181","whisker","0.3-2"
"182","withr","2.1.2"
"183","wordcloud","2.6"
"184","xfun","0.3"
"185","xlsx","0.6.1"
"186","xlsxjars","0.6.1"
"187","XML","3.98-1.19"
"188","xml2","1.2.0"
"189","xtable","1.8-3"
"190","yaml","2.2.0"
"191","zip","2.0.2"
"220","translations","3.5.1"
